netuid,name,symbol,stage,price_tao,price_usd,fundamental_mid_usd,uid_fill_pct,verdict
91,Bitstarter #1,ᚁ,Early,0.011547083,2.8755,0.0,100.0,Speculative
92,TensorClaw,ᚂ,Speculative,0.00394531,0.9825,0.0,100.0,Speculative
93,Bitcast,ᚃ,Early,0.014610208,3.6382,0.0,100.0,Speculative
94,Bitsota,ᚄ,Speculative,0.003617407,0.9008,0.0,100.0,Speculative
95,nion,ᚅ,Early,0.027633853,6.8814,0.0,100.0,Speculative
96,Verathos,᚛,Speculative,2.966089785,738.6157,0.0,97.66,Bubble
97,distil,ა,Early,0.048579724,12.0973,0.0,100.0,Speculative
98,ForeverMoney,ბ,Speculative,0.004235424,1.0547,0.0,100.0,Speculative
99,Leoma,გ,Speculative,0.006069642,1.5115,0.0,100.0,Speculative
100,Plaτform,დ,Speculative,0.014988781,3.7325,0.0,100.0,Speculative
101,eni,ე,Speculative,0.004057193,1.0103,0.0,100.0,Speculative
102,ConnitoAI,ვ,Speculative,0.013695038,3.4103,0.0,100.0,Speculative
103,Djinn,Ա,Speculative,0.005769276,1.4367,0.0,100.0,Speculative
104,for sale (burn to uid1),Բ,Speculative,0.003711996,0.9244,0.0,100.0,Speculative
105,Beam,Գ,Early,0.01000925,2.4925,0.0,100.0,Speculative
106,VoidAI,Դ,Speculative,0.004202177,1.0464,0.0,100.0,Speculative
107,Minos,ミ,Early,0.016108092,4.0112,0.0,100.0,Speculative
108,TalkHead,Զ,Speculative,0.004040895,1.0063,0.0,48.83,Speculative
109,Academia,՞,Speculative,0.00414439,1.032,0.0,100.0,Speculative
110,Green Compute,Ѐ,Speculative,0.005916199,1.4733,0.0,100.0,Speculative
111,oneoneone,Ё,Speculative,0.004256891,1.0601,0.0,100.0,Speculative
112,minotaur,Ђ,Speculative,0.005380116,1.3398,0.0,100.0,Speculative
113,TensorUSD,Ѓ,Speculative,0.004984061,1.2411,0.0,49.22,Speculative
114,SOMA,Є,Early,0.009724775,2.4217,0.0,100.0,Speculative
115,HashiChain,Ѕ,Speculative,0.007900633,1.9674,0.0,100.0,Speculative
116,TaoLend,ⴵ,Speculative,0.00362445,0.9026,0.0,100.0,Speculative
117,BrainPlay,Ⲁ,Speculative,0.003388612,0.8438,0.0,100.0,Speculative
118,HODL,ⲁ,Speculative,0.004012443,0.9992,0.0,100.0,Speculative
119,Satori,Ⲃ,Speculative,0.006173402,1.5373,0.0,100.0,Speculative
120,Affine,ⴷ,Early,0.071558006,17.8194,0.0,100.0,Speculative
121,sundae_bar,Ⲅ,Speculative,0.007139824,1.778,0.0,100.0,Speculative
122,Bitrecs,ⲅ,Speculative,0.003356199,0.8358,0.0,100.0,Speculative
123,MANTIS,𑀀,Speculative,0.004482998,1.1164,0.0,100.0,Speculative
124,Swarm,𑀁,Speculative,0.007180798,1.7882,0.0,100.0,Speculative
125,8 Ball,𑀂,Speculative,0.005826854,1.451,0.0,100.0,Speculative
126,Poker44,𑀃,Speculative,0.006770657,1.686,0.0,100.0,Speculative
127,Astrid,𑀅,Speculative,0.004883234,1.216,0.0,100.0,Speculative
128,ByteLeap,න,Speculative,0.003331294,0.8296,0.0,100.0,Speculative
